Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
22-358396.1,22-358396.1,Dollar General - Barlow,"23 Moore Boulevard, BARLOW, KY 42024",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428049,,,,,,
22-358396.2,22-358396.2,Dollar General - Beaver Dam,"720 US 231 S, BEAVER DAM, KY 42320",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428050,,,,,,
22-358396.3,22-358396.3,Dollar General - Brandenburg,"5075 Old Mill Road, BRANDENBURG, KY 40108",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428051,,,,,,
22-358396.4,22-358396.4,Dollar General - Burkesville,"6360 Glasgow Road, BURKESVILLE, KY 42717",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428052,,,,,,
22-358396.5,22-358396.5,Dollar General - Calvert City,"9162 US Highway 62, CALVERT CITY, KY 42029",Retail,"",0,0,"","",,"April 06, 2022","April 21, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428053,,,,,,
22-358396.6,22-358396.6,Dollar General - Calhoun,"120 Beech Grove Street, CALHOUN, KY 42327",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428055,,,,,,
22-358396.7,22-358396.7,Dollar General - Centertown,"520 Main Street, CENTERTOWN, KY 42328",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428057,,,,,,
22-358396.8,22-358396.8,Dollar General - Central City,"4901 State Route 70 W, CENTRAL CITY, KY 42330",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428059,,,,,,
22-358396.9,22-358396.9,Dollar General - Cromwell,"6032 US Highway 231, CROMWELL, KY 42333",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428062,,,,,,
22-358396.10,22-358396.10,Dollar General - Ashland,"2327 29th Street, ASHLAND, KY 41101",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428064,,,,,,
22-358396.11,22-358396.11,Dollar General - Dyer,"10 Dyer Highway O/O Yorkville, DYER, TN 38330",Retail,"",0,0,"","",,"April 06, 2022","April 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428067,,,,,,
22-358396.12,22-358396.12,Dollar General - Dyersburg,"2975 Highway 104 W, DYERSBURG, TN 38024",Retail,"",0,0,"","",,"April 06, 2022","April 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428070,,,,,,
22-358396.13,22-358396.13,Dollar General - Elkton,"145 Britmart Road, ELKTON, KY 42220",Retail,"",0,0,"","",,"April 06, 2022","April 25, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428071,,,,,,
22-358396.14,22-358396.14,Dollar General - Glendale,"441 East Main Street, GLENDALE, KY 42740",Retail,"",0,0,"","",,"April 06, 2022","April 25, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428073,,,,,,
22-358396.15,22-358396.15,Dollar General - Gracey,"400 Gracey-Sinking Fork Road, GRACEY, KY 42232",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428075,,,,,,
22-358396.16,22-358396.16,Dollar General - Gravel Switch,"11538 Danville Highway, GRAVEL SWITCH, KY 40328",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428077,,,,,,
22-358396.17,22-358396.17,Dollar General - Harned,"2883 East Highway 60, HARNED, KY 40144",Retail,"",0,0,"","",,"April 06, 2022","April 25, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428079,,,,,,
22-358396.18,22-358396.18,Dollar General - Hickory,"70 SR 408 W, HICKORY, KY 42051",Retail,"",0,0,"","",,"April 06, 2022","April 22, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428081,,,,,,
22-358396.19,22-358396.19,Dollar General - Hodgenville,"685 North Lincoln Boulevard, HODGENVILLE, KY 42748",Retail,"",0,0,"","",,"April 06, 2022","April 25, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428083,,,,,,
22-358396.20,22-358396.20,Dollar General - Indian Mound,"3110 Highway 79, INDIAN MOUND, TN 37079",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428084,,,,,,
22-358396.21,22-358396.21,Dollar General - Kuttawa,"407 Vista Drive, KUTTAWA, KY 42055",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428085,,,,,,
