Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
22-361187.1,22-361187.1,Walgreens - Gilbert,"2345 East Baseline Road, GILBERT, AZ 85234",Office,"",0,0,"","",,"March 09, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/418602,,,,,,
22-363247.1,22-363247.1,Ross Dress For Less - Chicago,"3925 North Cicero Avenue, CHICAGO, IL 60641",Retail,"",1.67,"","","",,"March 17, 2022",,,,,,x,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/421982,,,,,,
22-363247.2,22-363247.2,Ross Dress For Less - Chicago,"3925 North Cicero Avenue, CHICAGO, IL 60641",Retail,"",1.67,"","","",,"March 17, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/421985,,,,,,
22-356000.2,22-356000.2,Pick N Save - Waupaca,"955 West Fulton Street, WAUPACA, WI 54981",Retail,"",12.55,"","","",,"March 18, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/422363,,,,,,
21-346829.1,21-346829.1,Heritage Automotive - Owings Mills,"11212-11234 Reistertown Road, OWINGS MILLS, MD 21117",Other,"",10.3,74312,"","",,"March 03, 2022",,,,,,x,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/416871,,,,,,
21-346829.2,21-346829.2,Heritage Automotive - Owings Mills,"11212-11234 Reistertown Road, OWINGS MILLS, MD 21117",Other,"",10.3,74312,"","",,"March 03, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/416872,,,,,,
22-360894.1,22-360894.1,Vacant land,"301 East loop 281, LONGVIEW, TX 75605",Retail,"",0,0,"","",,"March 03, 2022",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/416653,,,,,,
21-336225.1,21-336225.1,Mariano’s - Chicago,"1615 South Clark Street, CHICAGO, IL 60616",Retail,Not applicable,2.798,"125,230 (two levels)",Three - One retail level and three above grade parking levels,2012,,"March 04, 2022",,,$0.00,$0.00,"$61,000.00",x,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/417097,,,,,,
21-336225.2,21-336225.2,Mariano’s - Chicago,"1615 South Clark Street, CHICAGO, IL 60616",Retail,"",0,"","","",,"March 04, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/417098,,,,,,
22-356199.2,22-356199.2,FedEx Freight,"3033 May Road, PERU, IL 61354",Retail,"",0,0,"","",,"March 11, 2022",,,,,,,,,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/419588,,,,,,
22-360307.1,22-360307.1,Office Max,"4949 Lakewood Boulevard, LAKEWOOD, CA 36030",Retail,"",0,0,"","",,"March 01, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/416010,,,,,,
22-355445.1,22-355445.1,Pathway Vet Alliance – Jacksonville,"3001 Hartley Road, JACKSONVILLE, FL 32257",Healthcare,"",1.72,"Approximately 12,500",one,1973 & 1984,,"February 18, 2022","March 18, 2022",,$400.00,$0.00,"$74,625.00",x,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/412787,,,,,,
22-355445.2,22-355445.2,Pathway Vet Alliance – Jacksonville,"3001 Hartley Road, JACKSONVILLE, FL 32257",Healthcare,"",1.72,"","","",,"February 18, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/412792,,,,,,
22-356000.1,22-356000.1,Pick N Save - Waupaca,"955 West Fulton Street, WAUPACA, WI 54981","Retail, office, industrial",Not applicable,"","63,740",1,2001,,"March 01, 2022","March 17, 2022",,"$62,550.00",$0.00,"$647,900.00",x,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/415925,,,,,,
22-360435.1,22-360435.1,Everbrook Academy– McKinney,"2854 Orchid Drive, MCKINNEY, TX 75070",Pre-school/daycare center,Not applicable,1.586,"12,870",One,2022,,"March 01, 2022",,,,,,x,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/415945,,,,,,
22-360435.2,22-360435.2,Everbrook Academy– McKinney,"2854 Orchid Drive, MCKINNEY, TX 75070",Healthcare,"",2,"","","",,"March 01, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/415947,,,,,,
